"appName","fileId","subId","classType","name"
"Tomcat8","126","1","NormalInterfaceDeclaration","HttpUpgradeHandler"
"Tomcat8","127","1","EnumDeclaration","MappingMatch"
"Tomcat8","128","1","NormalInterfaceDeclaration","Part"
"Tomcat8","129","1","NormalInterfaceDeclaration","PushBuilder"
"Tomcat8","130","1","NormalInterfaceDeclaration","WebConnection"
"Tomcat8","131","1","NormalClassDeclaration","HttpConstraintElement"
"Tomcat8","132","1","NormalClassDeclaration","HttpMethodConstraintElement"
"Tomcat8","133","1","NormalClassDeclaration","ELException"
"Tomcat8","134","1","NormalClassDeclaration","ELParseException"
"Tomcat8","135","1","NormalClassDeclaration","Expression"
"Tomcat8","136","1","NormalClassDeclaration","ExpressionEvaluator"
"Tomcat8","137","1","NormalInterfaceDeclaration","FunctionMapper"
"Tomcat8","138","1","NormalClassDeclaration","ImplicitObjectELResolver"
"Tomcat8","138","21","NormalClassDeclaration","ScopeManager"
"Tomcat8","138","22","NormalClassDeclaration","ScopeMap"
"Tomcat8","138","55","NormalClassDeclaration","ScopeEntry"
"Tomcat8","139","1","NormalClassDeclaration","ImportELResolver"
"Tomcat8","140","1","NormalClassDeclaration","NotFoundELResolver"
"Tomcat8","141","1","NormalClassDeclaration","ScopedAttributeELResolver"
"Tomcat8","142","1","NormalInterfaceDeclaration","VariableResolver"
"Tomcat8","143","1","NormalClassDeclaration","ErrorData"
"Tomcat8","144","1","NormalInterfaceDeclaration","HttpJspPage"
"Tomcat8","145","1","NormalInterfaceDeclaration","JspApplicationContext"
"Tomcat8","146","1","NormalClassDeclaration","JspContext"
"Tomcat8","147","1","NormalClassDeclaration","JspEngineInfo"
"Tomcat8","148","1","NormalClassDeclaration","JspException"
"Tomcat8","149","1","NormalClassDeclaration","JspFactory"
"Tomcat8","150","1","NormalInterfaceDeclaration","JspPage"
"Tomcat8","151","1","NormalClassDeclaration","JspTagException"
"Tomcat8","152","1","NormalClassDeclaration","JspWriter"
"Tomcat8","153","1","NormalClassDeclaration","PageContext"
"Tomcat8","154","1","NormalClassDeclaration","SkipPageException"
"Tomcat8","155","1","NormalClassDeclaration","BodyContent"
"Tomcat8","156","1","NormalInterfaceDeclaration","BodyTag"
